cpu_count = 16
cpu_user = 3555, cpu_system = 5389, cpu_nice = 106
cpu_idle = 6098247, cpu_iowait 23302, cpu_irq = 0
 cpu_softirq= 176, cpu_steal 0, cpu_guest = 0
pid = 524, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 548, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 553, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 584, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 601, utime = 0, stime = 18, cutime = 0, cstime = 0
pid = 606, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 623, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 624, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 634, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 635, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 641, utime = 0, stime = 5, cutime = 0, cstime = 0
pid = 642, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 651, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 652, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 653, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 826, utime = 4, stime = 0, cutime = 0, cstime = 0
pid = 827, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 994, utime = 3, stime = 0, cutime = 0, cstime = 0
pid = 995, utime = 0, stime = 2, cutime = 0, cstime = 0
pid = 998, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1000, utime = 1, stime = 2, cutime = 0, cstime = 0
pid = 1003, utime = 4, stime = 0, cutime = 0, cstime = 0
pid = 1006, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1011, utime = 0, stime = 0, cutime = 2, cstime = 0
pid = 1014, utime = 49, stime = 0, cutime = 0, cstime = 0
pid = 1016, utime = 10, stime = 5, cutime = 0, cstime = 0
pid = 1017, utime = 0, stime = 21, cutime = 0, cstime = 0
pid = 1019, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1023, utime = 23, stime = 7, cutime = 0, cstime = 0
pid = 1036, utime = 0, stime = 3, cutime = 0, cstime = 0
pid = 1040, utime = 10, stime = 7, cutime = 0, cstime = 0
pid = 1044, utime = 4, stime = 13, cutime = 0, cstime = 0
pid = 1045, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1046, utime = 96, stime = 47, cutime = 4, cstime = 9
pid = 1048, utime = 8, stime = 11, cutime = 0, cstime = 0
pid = 1050, utime = 6, stime = 8, cutime = 0, cstime = 0
pid = 1085, utime = 15, stime = 4, cutime = 0, cstime = 0
pid = 1099, utime = 0, stime = 158, cutime = 0, cstime = 0
pid = 1100, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1101, utime = 0, stime = 472, cutime = 0, cstime = 0
pid = 1104, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1133, utime = 4, stime = 0, cutime = 0, cstime = 0
pid = 1143, utime = 1, stime = 0, cutime = 0, cstime = 0
pid = 1151, utime = 2, stime = 7, cutime = 111, cstime = 68
pid = 1170, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1189, utime = 9, stime = 0, cutime = 7, cstime = 1
pid = 1190, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1206, utime = 2, stime = 0, cutime = 0, cstime = 0
pid = 1226, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1228, utime = 13, stime = 64, cutime = 3, cstime = 0
pid = 1246, utime = 0, stime = 0, cutime = 1, cstime = 0
pid = 1262, utime = 2, stime = 0, cutime = 0, cstime = 0
pid = 1270, utime = 3, stime = 2, cutime = 0, cstime = 0
pid = 1272, utime = 6, stime = 0, cutime = 0, cstime = 0
pid = 1307, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1359, utime = 11, stime = 7, cutime = 0, cstime = 0
pid = 1362, utime = 7, stime = 5, cutime = 15, cstime = 8
pid = 1458, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1460, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1465, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1467, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1484, utime = 135, stime = 20, cutime = 0, cstime = 0
pid = 1490, utime = 2, stime = 1, cutime = 0, cstime = 0
pid = 1508, utime = 1, stime = 0, cutime = 0, cstime = 0
pid = 1513, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1524, utime = 6, stime = 4, cutime = 0, cstime = 0
pid = 1525, utime = 0, stime = 4, cutime = 0, cstime = 0
pid = 1554, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1556, utime = 1, stime = 1, cutime = 0, cstime = 0
pid = 1560, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1562, utime = 6, stime = 0, cutime = 0, cstime = 0
pid = 1564, utime = 1, stime = 0, cutime = 0, cstime = 0
pid = 1574, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1579, utime = 2, stime = 0, cutime = 0, cstime = 0
pid = 1585, utime = 6, stime = 0, cutime = 0, cstime = 0
pid = 1591, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1594, utime = 2, stime = 0, cutime = 0, cstime = 0
pid = 1595, utime = 10, stime = 3, cutime = 0, cstime = 0
pid = 1605, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1610, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1614, utime = 3, stime = 1, cutime = 0, cstime = 0
pid = 1624, utime = 1, stime = 1, cutime = 0, cstime = 0
pid = 1629, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1633, utime = 1, stime = 0, cutime = 0, cstime = 0
pid = 1637, utime = 49, stime = 0, cutime = 0, cstime = 0
pid = 1640, utime = 8, stime = 0, cutime = 0, cstime = 0
pid = 1641, utime = 1, stime = 0, cutime = 0, cstime = 0
pid = 1642, utime = 0, stime = 1, cutime = 0, cstime = 0
pid = 1643, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1644, utime = 1, stime = 0, cutime = 0, cstime = 0
pid = 1651, utime = 1, stime = 0, cutime = 0, cstime = 0
pid = 1654, utime = 7, stime = 1, cutime = 0, cstime = 0
pid = 1655, utime = 7, stime = 0, cutime = 0, cstime = 0
pid = 1662, utime = 1, stime = 0, cutime = 0, cstime = 0
pid = 1664, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1665, utime = 6, stime = 0, cutime = 0, cstime = 0
pid = 1669, utime = 15, stime = 9, cutime = 0, cstime = 0
pid = 1673, utime = 1, stime = 0, cutime = 0, cstime = 0
pid = 1676, utime = 9, stime = 3, cutime = 0, cstime = 0
pid = 1677, utime = 7, stime = 0, cutime = 0, cstime = 0
pid = 1681, utime = 6, stime = 2, cutime = 0, cstime = 0
pid = 1684, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1708, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1741, utime = 0, stime = 1, cutime = 0, cstime = 0
pid = 1742, utime = 6, stime = 0, cutime = 3, cstime = 9
pid = 1743, utime = 51, stime = 2, cutime = 0, cstime = 0
pid = 1759, utime = 19, stime = 1, cutime = 0, cstime = 0
pid = 1773, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 1778, utime = 1, stime = 0, cutime = 0, cstime = 0
pid = 1790, utime = 16, stime = 1, cutime = 0, cstime = 0
pid = 1799, utime = 2, stime = 0, cutime = 0, cstime = 0
pid = 1811, utime = 3, stime = 0, cutime = 0, cstime = 0
pid = 1834, utime = 5, stime = 11, cutime = 0, cstime = 0
pid = 1844, utime = 0, stime = 12, cutime = 0, cstime = 0
pid = 1850, utime = 12, stime = 1, cutime = 123, cstime = 17
pid = 1853, utime = 147, stime = 18, cutime = 0, cstime = 0
pid = 1886, utime = 10, stime = 3, cutime = 0, cstime = 0
pid = 1909, utime = 3, stime = 0, cutime = 0, cstime = 0
pid = 1992, utime = 0, stime = 15, cutime = 0, cstime = 0
pid = 1993, utime = 1, stime = 0, cutime = 0, cstime = 0
pid = 1994, utime = 1, stime = 1, cutime = 0, cstime = 0
pid = 2049, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 2086, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 2089, utime = 1, stime = 0, cutime = 16, cstime = 2
pid = 2195, utime = 32, stime = 32, cutime = 0, cstime = 0
pid = 2196, utime = 4, stime = 0, cutime = 547, cstime = 1111
pid = 2206, utime = 1, stime = 0, cutime = 14, cstime = 1
pid = 2271, utime = 25, stime = 57, cutime = 0, cstime = 0
pid = 2272, utime = 8, stime = 1, cutime = 1398, cstime = 1837
pid = 2438, utime = 0, stime = 0, cutime = 13, cstime = 2
pid = 2503, utime = 75, stime = 148, cutime = 0, cstime = 0
pid = 2504, utime = 4, stime = 0, cutime = 20, cstime = 180
pid = 2685, utime = 0, stime = 26, cutime = 0, cstime = 0
pid = 2814, utime = 1, stime = 10, cutime = 0, cstime = 0
pid = 2882, utime = 0, stime = 3, cutime = 0, cstime = 0
pid = 2950, utime = 2, stime = 13, cutime = 0, cstime = 0
pid = 2976, utime = 64, stime = 105, cutime = 0, cstime = 0
pid = 2977, utime = 0, stime = 1, cutime = 0, cstime = 0
pid = 2999, utime = 1, stime = 3, cutime = 0, cstime = 0
pid = 3092, utime = 0, stime = 0, cutime = 9, cstime = 2
pid = 3104, utime = 0, stime = 1, cutime = 0, cstime = 0
pid = 61
pid = 62
pid = 63
pid = 64
pid = 65
pid = 66
pid = 68
pid = 69
pid = 70
pid = 71
pid = 72
pid = 74
pid = 75
pid = 76
pid = 77
pid = 78
pid = 80
pid = 81
pid = 82
pid = 83
pid = 84
pid = 85
pid = 86
pid = 87
pid = 88
cpu_count = 16
cpu_user = 3557, cpu_system = 5394, cpu_nice = 106
cpu_idle = 6102308, cpu_iowait 23302, cpu_irq = 0
 cpu_softirq= 176, cpu_steal 0, cpu_guest = 0
pid = 1, utime = 12, stime = 90, cutime = 349, cstime = 233
cpu_diff = 254, time_diff = 0
pid = 1 cpu_uage = 0.0
pid = 2, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 2 cpu_uage = 0.0
pid = 3, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 3 cpu_uage = 0.0
pid = 4, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 4 cpu_uage = 0.0
pid = 6, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 6 cpu_uage = 0.0
pid = 9, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 9 cpu_uage = 0.0
pid = 10, utime = 3, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 10 cpu_uage = 0.0
pid = 11, utime = 34, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 11 cpu_uage = 0.0
pid = 12, utime = 1, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 12 cpu_uage = 0.0
pid = 13, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 13 cpu_uage = 0.0
pid = 14, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 14 cpu_uage = 0.0
pid = 15, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 15 cpu_uage = 0.0
pid = 16, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 16 cpu_uage = 0.0
pid = 17, utime = 12, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 17 cpu_uage = 0.0
pid = 18, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 18 cpu_uage = 0.0
pid = 20, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 20 cpu_uage = 0.0
pid = 21, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 21 cpu_uage = 0.0
pid = 22, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 22 cpu_uage = 0.0
pid = 23, utime = 13, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 23 cpu_uage = 0.0
pid = 24, utime = 0, stime = 2, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 24 cpu_uage = 0.0
pid = 26, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 26 cpu_uage = 0.0
pid = 27, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 27 cpu_uage = 0.0
pid = 28, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 28 cpu_uage = 0.0
pid = 29, utime = 13, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 29 cpu_uage = 0.0
pid = 30, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 30 cpu_uage = 0.0
pid = 32, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 32 cpu_uage = 0.0
pid = 33, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 33 cpu_uage = 0.0
pid = 34, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 34 cpu_uage = 0.0
pid = 35, utime = 13, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 35 cpu_uage = 0.0
pid = 36, utime = 0, stime = 2, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 36 cpu_uage = 0.0
pid = 38, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 38 cpu_uage = 0.0
pid = 39, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 39 cpu_uage = 0.0
pid = 40, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 40 cpu_uage = 0.0
pid = 41, utime = 0, stime = 13, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
pid = 41 cpu_uage = 0.0
pid = 42, utime = 0, stime = 0, cutime = 0, cstime = 0
cpu_diff = 254, time_diff = 0
